quarter_idx,split,stock_id,stock_name,future_return_1q,score,portfolio_rank,weight,strategy,score_col,topk,buffer_rule
19,train,600423.SH,柳化股份,-16.4429530201342,0.9803370786516854,20,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
20,train,600080.SH,金花股份,7.54039497307002,1.0,1,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
20,train,002370.SZ,亚太药业,12.2282608695652,0.9992977528089888,2,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
20,train,300165.SZ,天瑞仪器,-7.50507099391482,0.9985955056179776,3,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
20,train,002058.SZ,威尔泰,-20.5629397967162,0.9978932584269664,4,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
20,train,600854.SH,春兰股份,-8.22281167108753,0.9971910112359552,5,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
20,train,603518.SH,锦泓集团,15.0980392156863,0.9964887640449438,6,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
20,train,300254.SZ,仟源医药,-14.050822122571,0.9957865168539326,7,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
20,train,603011.SH,合锻智能,-7.52895752895753,0.9950842696629212,8,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
20,train,300161.SZ,华中数控,26.9748390871855,0.99438202247191,9,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
20,train,300345.SZ,华民股份,7.96915167095116,0.9936797752808988,10,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
20,train,002393.SZ,力生制药,-11.3681102362205,0.9929775280898876,11,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
20,train,002193.SZ,如意集团,-13.4218289085546,0.9922752808988764,12,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
20,train,002693.SZ,双成药业,-6.06060606060607,0.9915730337078652,13,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
20,train,300018.SZ,中元股份,-13.5303265940902,0.990870786516854,14,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
20,train,002209.SZ,达意隆,-2.72314674735251,0.9901685393258428,15,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
20,train,002308.SZ,*ST威创,-7.97546012269938,0.9894662921348316,16,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
20,train,600439.SH,瑞贝卡,1.19047619047619,0.9887640449438202,17,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
20,train,300306.SZ,远方信息,-21.1174242424242,0.988061797752809,18,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
20,train,002144.SZ,宏达高科,-28.5714285714286,0.9873595505617978,19,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
20,train,002319.SZ,乐通股份,42.4198250728863,0.9796348314606742,20,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
21,train,600132.SH,重庆啤酒,77.7408637873754,1.0,1,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
21,train,600809.SH,山西汾酒,30.8449429013698,0.9992977528089888,2,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
21,train,002030.SZ,达安基因,18.7232631626825,0.9985955056179776,3,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
21,train,600276.SH,恒瑞医药,-9.69140865540787,0.9978932584269664,4,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
21,train,600779.SH,水井坊,73.6769759450172,0.9971910112359552,5,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
21,train,002372.SZ,伟星新材,-15.2751658833259,0.9964887640449438,6,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
21,train,300122.SZ,智飞生物,6.00022706630334,0.9957865168539326,7,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
21,train,600887.SH,伊利股份,-6.89950031887118,0.9950842696629212,8,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
21,train,601100.SH,恒立液压,-5.00443299196558,0.99438202247191,9,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
21,train,002415.SZ,海康威视,21.9642029122242,0.9936797752808988,10,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
21,train,002511.SZ,中顺洁柔,7.90916766213443,0.9929775280898876,11,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
21,train,300146.SZ,汤臣倍健,23.1091161098503,0.9922752808988764,12,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
21,train,603288.SH,海天味业,10.9033513186847,0.9915730337078652,13,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
21,train,000799.SZ,酒鬼酒,61.5982803312891,0.990870786516854,14,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
21,train,002653.SZ,海思科,-12.3949800991599,0.9901685393258428,15,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
21,train,000661.SZ,长春高新,-12.1883169365361,0.9894662921348316,16,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
21,train,000596.SZ,古井贡酒,10.5834948741017,0.9887640449438202,17,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
21,train,002677.SZ,浙江美大,2.19436037736696,0.988061797752809,18,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
21,train,002706.SZ,良信股份,1.89345820961107,0.9873595505617978,19,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
21,train,002507.SZ,涪陵榨菜,-10.4825291181365,0.9866573033707864,20,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
22,valid,002098.SZ,浔兴股份,8.13148788927334,1.0,1,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
22,valid,600479.SH,千金药业,0.0,0.9992977528089888,2,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
22,valid,002687.SZ,乔治白,23.3511586452763,0.9985955056179776,3,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
22,valid,600361.SH,创新新材,49.9999938526386,0.9975421348314608,4,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
22,valid,600961.SH,株冶集团,56.1258278145695,0.9975421348314608,5,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
22,valid,000789.SZ,万年青,15.9965034965035,0.9964887640449438,6,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
22,valid,000529.SZ,广弘控股,2.77758091837155,0.9957865168539326,7,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
22,valid,600075.SH,新疆天业,39.1061452513966,0.9950842696629212,8,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
